ID,Age,Gender,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Family_Communication,Weekend_Usage_Hours,Addiction_Level
24,19,1,5,6.9,3,79,5,1.0,5,5,10,1,0.8,32,7,2.0,1.3,1.2,7,6.6,10.0
25,19,2,2,4.6,7,85,7,1.3,7,6,4,0,1.1,71,5,1.8,0.8,1.1,8,6.2,6.0
26,16,1,1,5.5,5,78,5,1.2,1,7,3,0,0.7,44,14,0.9,1.3,1.3,3,3.9,8.4
27,19,1,1,6.2,4,65,3,1.3,5,7,1,0,1.1,115,10,2.1,1.6,1.0,7,6.6,10.0
28,19,1,4,4.9,9,50,4,0.0,7,4,1,0,0.3,117,5,3.5,4.0,0.9,3,7.0,10.0
29,17,0,0,6.6,8,77,7,1.0,6,1,3,1,1.5,147,14,2.0,1.7,1.6,8,9.2,10.0
30,19,2,1,8.6,5,63,0,1.1,6,4,8,0,1.3,72,15,0.2,1.8,0.7,9,6.6,10.0
31,15,2,2,4.1,4,59,8,0.8,10,1,8,0,0.6,32,10,2.2,1.0,0.5,9,9.3,7.7
32,19,1,0,4.2,6,86,8,1.7,5,1,9,1,1.0,100,15,2.6,2.2,0.9,4,6.9,10.0
33,19,1,0,8.0,5,87,7,2.2,1,8,5,0,1.0,26,16,3.3,1.3,2.6,6,5.2,10.0
34,16,1,5,3.3,5,50,4,0.0,7,1,6,0,0.3,141,14,0.7,3.2,0.0,5,5.1,10.0
35,16,1,2,4.7,6,59,6,1.5,10,4,7,1,0.6,123,18,1.0,1.1,1.2,2,0.3,9.6
36,15,1,4,3.9,6,64,9,1.3,6,7,8,1,0.9,135,11,1.2,1.5,1.5,7,2.2,8.4
37,13,0,4,4.4,6,62,8,1.4,2,1,10,0,1.7,66,7,0.9,0.0,0.0,1,6.9,4.6
38,13,1,5,8.3,6,65,9,1.3,5,6,8,1,1.3,144,5,2.3,0.0,1.5,1,2.9,10.0
39,16,2,5,7.4,6,67,0,1.7,6,6,8,0,1.6,117,16,1.6,0.7,0.7,8,4.6,10.0
40,16,0,2,1.7,6,68,9,0.8,5,9,1,1,0.7,107,18,2.4,0.6,0.0,6,6.2,7.0
41,13,2,4,6.2,8,77,1,0.4,7,2,4,0,1.1,141,5,3.8,1.4,0.9,8,6.2,10.0
42,19,2,2,5.2,7,96,5,0.1,4,10,3,0,0.7,119,16,3.0,1.7,0.6,3,6.1,10.0
43,15,2,1,3.3,5,89,7,0.0,9,6,9,0,0.3,77,18,1.1,1.0,0.0,9,10.4,7.9
44,13,1,1,6.9,6,89,4,1.1,3,2,7,1,0.3,140,13,3.0,1.9,0.7,9,4.1,10.0
45,13,1,5,6.6,5,88,8,2.1,10,7,10,0,2.0,56,20,2.1,1.4,0.4,9,6.2,10.0
46,18,0,4,1.0,6,60,5,1.4,6,3,10,0,0.4,25,16,3.1,0.0,2.0,4,5.8,4.7
47,17,1,4,6.7,4,67,3,1.3,10,1,3,0,0.8,129,6,2.8,0.8,1.7,7,9.9,10.0
48,19,2,1,7.1,7,67,2,0.4,1,1,4,0,2.6,119,16,2.8,2.4,0.0,4,5.3,10.0
49,18,1,3,4.7,6,69,6,1.5,10,3,1,0,1.3,119,5,3.4,1.0,0.0,10,4.7,9.2
50,14,1,1,8.1,7,91,6,1.4,8,7,8,1,0.3,120,13,1.4,2.2,1.9,9,6.0,10.0
51,14,1,5,4.3,5,75,4,2.5,5,1,8,1,2.2,105,17,1.9,1.4,1.4,1,3.1,10.0
52,17,1,1,3.9,8,97,3,0.5,1,7,8,0,1.2,66,13,4.3,1.6,1.0,6,4.9,9.5
53,13,2,5,9.0,7,79,6,1.1,1,1,7,1,0.8,127,17,3.1,1.5,0.0,1,6.9,10.0
54,15,2,4,4.5,7,93,5,1.0,7,7,2,1,1.3,83,17,2.6,1.2,2.4,8,6.0,9.5
55,14,2,1,4.4,4,56,9,1.7,7,7,1,1,0.8,129,16,4.9,1.4,0.6,10,6.1,10.0
56,19,2,2,5.9,8,87,2,0.0,4,10,9,0,1.5,48,6,3.0,1.5,0.7,2,6.5,8.3
57,17,2,0,3.3,6,78,2,3.6,2,9,9,1,1.2,141,17,1.9,1.0,0.2,8,5.1,9.4
58,15,0,2,2.9,5,71,1,1.1,9,2,1,1,0.9,117,10,2.0,1.6,1.3,7,4.6,8.1
59,17,1,1,3.4,4,79,10,0.9,8,4,5,0,0.6,123,6,3.0,1.7,0.7,5,7.6,9.4
60,17,0,3,6.3,7,77,8,1.6,4,4,10,0,1.4,110,8,3.7,1.5,1.9,1,3.1,10.0
61,19,1,0,3.7,7,89,9,0.7,8,7,7,0,0.3,92,7,0.9,2.1,0.9,7,2.0,6.0
62,18,1,3,4.7,6,77,7,0.9,6,10,1,0,1.0,105,12,0.7,1.3,0.0,8,8.3,7.8
63,17,2,4,6.7,7,54,8,1.3,7,10,7,0,0.2,84,9,2.2,1.3,1.4,9,7.9,9.7
64,18,0,2,5.3,7,63,1,2.2,10,6,4,1,0.7,135,6,1.7,2.4,1.6,9,5.7,9.4
65,17,1,2,8.7,5,87,5,0.0,4,8,2,1,1.2,146,10,4.0,0.6,0.4,6,5.9,10.0
66,17,2,5,3.9,8,80,3,1.5,4,5,10,0,0.3,41,11,2.6,0.0,1.1,2,5.7,5.5
67,16,0,0,7.4,6,100,3,1.1,2,3,5,1,1.3,90,19,2.1,0.8,0.6,9,9.3,10.0
68,18,0,1,6.8,10,98,7,1.7,7,8,3,1,1.7,72,16,2.4,1.0,2.0,10,7.6,9.8
69,18,0,4,7.0,8,70,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,5,1.8,9.7
70,16,1,4,5.8,7,88,5,1.0,9,9,2,0,0.7,30,15,2.6,0.7,0.5,10,9.7,9.1
71,17,2,2,4.1,5,67,2,0.2,1,7,4,1,0.5,120,16,4.3,2.1,2.0,8,11.0,10.0
72,19,2,2,4.9,4,86,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,2,4.2,10.0
73,18,1,2,4.4,6,95,3,1.1,8,1,3,1,0.6,91,15,2.2,1.6,0.8,1,3.9,9.7
74,19,1,4,6.3,3,58,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,6,8.5,10.0
75,15,1,5,5.8,6,84,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,6,5.5,10.0
76,13,0,4,6.5,7,58,10,0.3,9,6,5,0,1.1,74,6,2.6,2.0,1.1,9,8.7,10.0
77,17,0,5,5.8,7,76,8,1.7,5,5,5,1,1.7,116,19,3.0,2.2,2.2,9,3.3,10.0
78,19,2,3,5.1,7,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,2,7.7,7.6
79,13,2,4,5.2,6,87,0,0.8,1,5,8,1,1.6,79,11,4.2,0.0,1.2,6,3.7,10.0
80,13,1,1,4.8,8,78,8,0.0,3,3,10,1,1.0,51,9,3.0,2.4,1.6,7,7.1,8.7
81,19,1,1,4.3,4,91,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,8,5.2,8.3
82,19,0,3,7.6,6,88,4,0.0,6,4,8,0,1.8,77,15,4.6,0.0,0.0,7,7.1,10.0
83,17,0,3,5.5,6,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,4,6.2,7.6
84,15,2,0,4.8,6,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,8,5.3,10.0
85,19,2,5,7.4,6,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0.0,1,7.6,10.0
86,16,1,2,3.8,5,85,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,9,9.3,7.6
87,13,2,0,7.3,5,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2.0,0.9,1,4.1,10.0
88,19,0,4,0.7,4,64,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,3,5.3,5.7
89,14,1,1,3.0,6,82,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1.0,9,6.7,8.6
90,19,2,2,4.0,7,83,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0.0,3,7.4,9.9
91,16,2,2,8.1,6,59,1,0.0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,1,5.1,10.0
92,17,1,2,5.2,6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1.0,5,8.1,10.0
93,18,2,3,1.7,6,52,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,7,6.5,6.5
94,15,1,4,6.8,7,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,5,6.8,10.0
95,18,0,5,6.4,10,89,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,2,4.6,10.0
96,17,1,5,7.2,7,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,4,2.3,10.0
97,18,0,0,3.3,5,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,10,6.6,10.0
98,16,1,4,4.7,8,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,8,6.2,8.2
99,18,0,5,2.8,7,93,5,0.8,4,5,2,0,1.5,42,6,2.8,1.0,0.6,10,8.2,5.1
100,16,0,4,6.2,8,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1.0,7,6.7,8.8
101,17,1,5,6.7,8,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,8,5.7,10.0
102,14,2,4,2.2,5,69,7,1.0,6,3,8,1,1.3,24,16,2.6,2.2,1.1,9,7.6,8.1
103,13,0,1,4.1,6,57,3,2.0,5,3,7,0,0.4,78,13,1.7,2.2,0.3,3,5.8,9.0
104,13,1,1,5.3,5,85,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,8,8.9,10.0
105,18,0,4,4.7,3,71,1,1.8,7,4,7,1,1.5,87,9,0.1,0.0,0.0,7,6.7,6.6
106,19,2,0,4.5,7,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1.0,0.9,4,7.4,8.0
107,13,1,3,5.6,5,85,4,0.6,1,2,8,1,1.4,44,7,2.1,0.0,1.5,7,6.6,7.1
108,15,2,3,7.3,5,67,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,4,8.0,10.0
109,18,0,1,4.6,9,55,2,0.8,2,4,5,1,1.1,113,7,1.6,1.7,1.6,4,8.6,6.9
110,15,2,5,2.0,5,74,5,0.9,2,9,6,0,1.1,47,12,2.0,1.3,1.4,1,4.4,5.7
111,14,1,5,1.6,6,70,7,0.0,9,5,1,0,1.6,42,5,4.8,0.8,1.5,3,1.8,6.0
112,18,2,5,2.0,7,76,0,1.1,1,7,2,1,0.9,115,7,1.4,1.9,1.3,10,5.6,5.2
113,16,1,0,3.0,4,51,10,3.0,1,8,1,1,0.3,42,18,1.7,3.3,0.0,3,6.7,10.0
114,15,0,5,6.9,3,73,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,3,4.9,10.0
115,16,2,4,5.5,5,63,8,0.0,5,10,3,1,2.0,72,14,1.4,0.0,0.8,1,8.3,8.4
116,15,0,1,6.6,9,53,5,1.0,8,4,1,0,0.8,121,13,4.5,1.7,2.8,6,6.4,10.0
117,19,2,2,8.3,5,58,9,1.6,3,1,3,0,0.1,21,9,1.7,0.8,1.2,10,6.5,10.0
118,18,2,4,3.6,3,56,0,2.4,5,9,4,1,0.9,80,16,3.2,0.3,1.5,7,7.3,10.0
119,17,1,5,5.4,3,88,0,0.0,7,10,10,0,0.7,29,11,2.9,0.3,0.5,3,1.7,9.8
120,19,2,5,2.1,7,71,7,0.5,4,1,4,1,1.7,54,9,2.5,1.5,1.6,5,2.1,5.3
121,16,1,3,7.8,7,81,0,1.9,5,6,10,0,1.1,135,14,3.6,1.1,1.3,6,4.5,10.0
122,14,1,5,4.3,3,64,2,2.9,10,10,6,1,0.6,119,9,1.1,1.4,1.8,4,6.7,9.0
123,18,2,2,7.4,7,80,0,1.1,1,2,3,0,1.9,57,20,1.9,0.9,1.6,10,4.6,10.0
124,18,0,3,6.4,7,72,4,2.0,5,6,4,1,0.7,23,13,0.7,2.4,0.7,3,7.4,8.6
125,13,2,5,2.0,8,78,10,1.6,5,1,10,0,0.4,140,17,2.0,0.8,2.4,1,5.1,6.8
126,15,1,4,2.6,6,65,0,1.3,6,5,2,1,1.0,26,6,1.8,2.8,1.1,6,9.5,5.5
127,13,2,3,4.4,5,68,7,3.7,2,4,8,0,1.8,70,18,2.4,1.1,0.7,2,5.1,10.0
128,16,2,4,4.8,6,57,7,0.7,9,10,8,0,0.8,68,16,0.5,3.7,0.0,3,7.9,10.0
129,15,2,0,7.7,5,75,2,2.2,2,8,10,0,1.0,74,16,2.4,2.9,0.9,2,4.2,10.0
130,17,2,2,4.2,5,88,10,0.5,9,6,2,0,1.1,58,19,3.3,0.4,0.2,5,7.1,10.0
131,17,2,2,4.6,5,98,4,0.6,8,5,1,0,1.1,46,18,2.2,2.5,1.7,3,7.4,10.0
132,19,1,5,2.9,6,94,5,0.0,8,7,5,0,1.3,126,15,3.3,1.1,0.0,4,3.4,9.6
133,14,0,0,6.8,5,55,1,0.6,9,10,10,0,1.1,129,10,3.2,2.6,0.7,8,4.9,10.0
134,18,1,5,4.7,5,61,10,0.1,10,4,2,0,2.0,95,12,3.3,2.4,0.6,3,5.1,10.0
135,19,0,0,4.1,7,85,6,0.1,3,3,3,0,0.8,25,20,3.0,0.2,1.5,3,7.7,8.0
136,14,0,4,0.0,6,75,0,0.8,5,7,4,0,1.2,111,7,3.0,1.6,0.0,1,3.6,5.2
137,15,0,3,4.3,9,61,2,0.0,7,8,4,1,0.3,31,5,2.6,2.6,0.8,5,6.4,6.5
138,13,1,5,3.3,8,60,7,0.4,6,6,2,0,1.6,70,20,3.0,1.5,0.8,9,4.9,9.2
139,14,0,3,8.0,5,79,7,1.1,1,1,4,1,0.7,130,17,1.8,2.4,1.4,4,4.5,10.0
140,17,2,5,5.0,5,90,3,1.0,6,8,9,1,0.7,68,18,2.6,2.4,1.3,9,8.3,10.0
141,18,2,1,2.5,4,51,10,1.3,6,10,1,1,0.5,83,6,2.0,0.0,3.0,5,4.5,5.0
142,14,0,2,4.8,4,81,0,1.6,9,5,4,1,1.4,124,18,2.8,2.2,1.4,6,4.7,10.0
143,18,2,1,5.0,5,71,6,0.4,7,3,10,1,1.0,92,14,1.5,0.6,1.5,7,9.0,9.0
144,16,0,1,7.1,3,56,6,0.0,1,4,1,1,1.4,116,18,2.2,2.3,2.1,5,4.1,10.0
145,18,0,3,7.9,6,55,4,0.0,8,9,5,1,2.0,97,11,1.8,0.8,0.3,9,2.4,10.0
146,14,1,2,7.4,6,81,9,0.4,4,10,4,1,1.4,116,6,1.2,0.0,1.0,5,3.9,8.9
147,15,0,1,2.5,5,66,0,0.6,9,8,4,0,0.6,85,14,1.9,1.2,1.7,9,5.0,7.4
148,19,1,5,6.4,7,62,3,0.0,6,3,7,1,0.6,41,11,2.6,3.6,2.2,5,9.4,10.0
149,16,2,0,7.0,7,89,1,0.7,3,10,8,0,1.0,56,11,2.4,0.8,0.0,9,3.2,9.6
150,13,0,5,5.1,4,63,9,1.3,4,8,6,0,0.0,49,6,3.0,0.8,2.2,1,7.9,8.9
151,14,1,5,6.9,7,98,8,0.2,8,4,8,0,1.2,54,7,1.3,0.8,0.3,10,6.9,7.9
152,13,0,0,4.0,6,59,7,0.2,10,10,1,0,0.7,114,13,2.7,2.5,0.8,5,6.9,10.0
153,16,1,4,6.6,9,82,3,1.1,7,4,7,0,0.3,83,20,0.7,1.8,0.5,5,3.5,10.0
154,18,1,0,5.7,6,77,3,1.6,4,1,8,0,2.0,115,12,2.3,1.0,1.9,3,6.2,10.0
155,13,2,4,2.9,5,67,9,0.0,7,3,1,0,1.1,86,13,2.6,1.7,0.9,8,7.0,8.6
156,17,0,5,4.8,4,63,9,1.2,9,7,7,0,0.3,91,20,1.9,1.6,1.4,4,8.0,10.0
157,16,0,4,7.3,6,77,6,0.5,3,5,6,0,0.7,138,6,2.8,1.7,2.4,4,8.6,10.0
158,13,0,4,4.9,5,98,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,1,6.3,10.0
159,19,1,2,6.7,5,79,7,0.0,2,9,7,1,0.2,130,17,2.2,2.1,0.2,5,3.1,10.0
160,19,2,2,2.2,8,60,5,2.0,10,7,3,1,0.5,70,10,3.4,1.1,2.3,2,9.7,6.0
161,13,1,4,3.3,7,55,0,0.0,4,2,6,0,1.2,47,15,2.8,0.0,0.6,1,7.2,6.2
162,14,2,5,6.8,4,76,6,2.2,2,8,5,1,0.9,142,12,4.0,0.0,1.6,5,7.9,10.0
163,18,2,1,5.2,6,93,4,0.0,8,10,4,1,1.1,36,18,2.5,1.9,1.6,10,7.5,10.0
164,19,1,1,6.0,3,78,1,1.0,4,4,2,0,0.6,130,6,2.7,1.8,1.6,3,10.0,10.0
165,15,2,2,5.9,5,74,1,1.0,9,8,3,1,0.8,94,6,4.6,2.7,1.2,2,4.0,10.0
166,19,0,0,3.7,4,72,0,0.6,4,10,7,1,1.2,146,18,2.0,2.2,1.8,10,4.6,10.0
167,17,1,0,8.4,7,57,3,1.4,6,8,5,0,0.5,49,14,1.3,1.5,1.4,10,4.6,10.0
168,15,2,0,0.8,7,70,7,1.7,9,1,1,1,0.8,67,10,2.9,0.9,1.2,6,8.9,4.2
169,18,2,3,7.2,3,84,4,1.8,3,8,5,1,0.9,83,8,2.9,2.6,1.6,4,6.4,10.0
170,13,1,1,4.6,5,91,4,0.9,10,3,6,1,0.8,129,6,1.6,2.2,0.8,6,3.4,9.5
171,19,1,1,2.4,6,63,8,0.0,9,8,7,0,0.8,50,16,2.0,1.3,0.9,1,8.0,6.5
172,16,0,4,4.3,6,94,9,1.0,2,10,4,0,0.8,47,17,1.6,1.4,0.0,5,0.7,8.3
173,14,2,4,6.8,6,92,8,2.0,9,1,5,1,1.0,46,6,2.1,1.7,1.7,5,2.9,9.7
174,13,2,1,6.3,5,100,8,2.0,5,5,3,0,1.8,30,12,1.6,1.4,1.8,5,5.5,9.6
175,13,0,0,5.3,9,52,5,1.0,3,3,8,1,1.7,145,9,2.3,1.3,0.0,6,7.3,8.8
176,17,2,5,4.4,5,99,2,1.2,1,4,10,1,0.9,58,9,2.5,1.0,0.6,2,4.3,8.0
177,16,2,0,8.1,6,50,0,2.0,4,7,7,1,0.5,63,7,2.1,0.0,1.8,7,7.2,9.5
178,13,2,5,3.6,6,65,9,0.4,5,2,6,1,1.6,83,11,1.1,2.2,0.8,4,4.5,7.8
179,17,2,3,5.0,5,66,5,0.8,2,10,10,1,1.4,129,17,2.7,1.6,1.2,1,7.1,10.0
180,17,2,4,4.1,7,57,10,0.9,3,10,1,0,1.4,145,10,1.5,1.7,0.7,7,6.7,8.6
181,19,2,0,4.3,9,53,8,0.5,10,3,10,1,1.6,47,14,2.7,1.2,0.0,2,5.6,7.3
182,18,1,0,4.2,7,58,1,1.2,4,2,7,1,1.1,59,15,2.7,1.1,0.8,9,4.3,8.4
183,18,1,4,6.4,4,60,5,0.5,7,1,3,0,0.6,42,10,2.4,1.2,0.4,5,5.9,10.0
184,16,0,5,3.3,7,74,4,1.3,2,7,4,1,1.0,111,6,2.7,1.8,1.6,6,4.3,7.6
185,19,0,2,5.7,8,96,1,0.9,3,4,2,1,1.5,65,20,3.3,2.7,1.9,3,7.8,10.0
186,16,2,0,5.7,6,97,4,1.4,7,2,4,0,0.8,134,14,2.3,1.5,0.0,5,5.2,10.0
187,13,2,5,1.8,4,98,2,1.3,9,6,9,1,0.5,49,6,2.6,1.9,0.8,5,7.8,6.4
188,17,0,5,0.2,5,60,5,1.5,6,3,2,1,2.4,102,17,1.7,1.2,0.1,10,6.6,5.8
189,16,0,4,2.7,6,55,9,0.7,6,8,6,1,2.1,139,13,1.6,2.9,0.9,8,7.6,9.1
190,17,1,5,4.3,6,93,6,0.4,7,9,6,0,0.8,33,13,2.5,0.0,1.8,8,4.0,6.7
191,16,2,3,4.5,6,85,6,0.8,10,8,10,0,0.5,22,18,4.3,2.0,1.0,8,5.7,10.0
192,18,1,4,4.6,5,91,6,1.6,3,7,9,0,0.7,128,14,2.9,0.9,1.6,3,3.0,10.0
193,16,2,2,7.5,5,84,6,1.5,7,9,6,0,1.6,76,13,2.1,2.1,0.8,8,11.5,10.0
194,16,2,2,5.3,6,98,2,1.7,9,4,2,1,1.1,51,7,3.2,0.0,0.9,1,6.1,7.9
195,15,2,2,4.9,4,73,3,1.8,5,3,2,0,1.1,105,14,1.0,0.0,1.0,8,4.2,8.4
196,15,1,5,5.4,6,57,10,0.6,9,3,9,0,1.2,45,5,0.2,1.2,1.2,3,5.9,5.3
197,14,2,5,0.5,6,57,7,1.0,6,6,1,0,0.9,73,7,4.0,2.3,1.2,8,5.7,6.6
198,17,2,5,7.6,6,100,3,1.4,4,4,6,1,1.0,105,9,3.9,0.3,1.3,8,9.4,10.0
199,19,1,3,7.6,3,69,10,0.4,5,7,8,0,0.5,66,7,2.1,3.1,2.0,5,5.8,10.0
200,19,0,0,2.5,5,87,9,0.7,8,5,3,0,1.6,90,12,3.4,1.4,1.2,2,6.9,8.7
201,19,0,3,5.5,6,93,10,0.3,8,10,7,1,1.5,57,9,3.0,0.8,0.3,4,9.9,9.0
202,16,0,2,2.7,4,51,6,0.6,4,7,8,0,1.3,100,12,3.8,1.0,2.6,6,4.3,9.6
203,19,1,0,7.0,5,96,0,0.5,5,9,9,0,1.2,100,18,2.8,1.8,0.4,9,3.4,10.0
204,16,0,5,5.3,5,83,0,1.0,7,3,7,1,1.0,22,10,2.6,2.7,1.7,9,1.7,10.0
205,15,0,5,4.7,5,94,1,1.5,9,6,4,0,0.5,104,12,2.5,1.9,0.9,4,4.5,10.0
206,19,2,5,5.4,4,68,10,1.2,1,2,6,1,0.6,127,12,3.4,1.1,2.4,3,3.3,10.0
207,17,2,0,8.5,5,63,6,1.0,9,10,9,1,1.1,59,17,2.3,2.7,3.0,9,9.0,10.0
208,17,2,4,6.2,4,56,4,0.9,1,5,6,1,1.5,46,14,2.2,1.2,0.0,5,2.9,10.0
209,16,0,1,2.7,5,82,9,0.4,3,5,6,0,0.5,67,17,3.5,0.9,1.0,2,1.8,9.3
210,17,1,1,3.5,5,77,6,1.7,1,1,2,1,1.2,91,9,2.0,0.9,1.1,2,7.7,7.5
211,18,0,4,3.5,7,94,0,0.5,1,6,7,0,2.0,84,11,2.7,2.9,0.8,10,5.2,9.4
212,14,1,3,6.6,5,84,4,1.0,2,6,8,1,0.4,63,16,1.7,0.0,1.1,5,6.7,10.0
213,16,2,1,6.1,7,71,10,0.6,7,10,4,0,1.5,39,20,1.8,1.9,2.6,9,5.8,10.0
214,17,2,0,3.3,5,59,6,0.6,7,4,10,1,1.2,140,5,2.6,1.7,0.2,9,1.8,8.6
215,13,1,0,6.3,7,81,7,0.0,3,4,3,0,1.9,77,15,2.5,0.4,1.8,7,5.0,10.0
216,14,1,1,6.5,7,93,10,1.7,9,4,1,1,0.6,113,8,4.3,2.5,0.7,10,7.1,10.0
217,19,2,4,4.6,8,84,4,1.8,3,4,1,0,0.5,51,18,4.4,2.2,0.7,9,6.8,10.0
218,13,2,1,1.6,6,75,9,1.0,8,4,4,0,0.3,62,17,1.7,1.2,0.9,10,4.1,6.1
219,18,1,4,8.1,7,71,5,0.1,9,3,5,1,1.4,143,6,2.8,0.7,0.0,9,6.4,10.0
220,16,0,1,4.7,5,51,8,1.3,2,9,7,1,0.3,60,10,4.1,1.2,1.3,6,5.0,10.0
221,15,2,5,8.8,7,59,10,0.2,10,4,2,1,1.1,141,14,0.9,0.5,1.2,8,5.5,10.0
222,17,0,5,8.9,7,93,9,1.4,9,8,3,0,0.0,70,5,1.8,1.8,0.5,9,4.4,10.0
223,17,1,2,3.0,3,83,1,1.9,1,4,3,1,0.6,35,17,2.3,3.3,1.0,1,9.6,10.0
224,13,1,2,4.5,7,74,4,0.6,7,9,3,0,1.3,104,15,0.8,0.0,0.9,4,4.1,6.5
225,17,0,4,5.4,7,57,10,0.0,4,2,2,1,0.4,80,20,2.5,0.4,1.6,1,5.1,10.0
226,15,2,1,6.3,3,74,10,0.7,6,2,4,1,0.7,95,8,2.5,0.9,0.2,2,3.1,10.0
227,16,0,0,5.9,5,71,2,2.0,6,7,1,1,1.5,76,18,1.4,1.6,2.0,4,7.7,10.0
